"pair_id","patient_id","lnp_id","validation_group","fold"
"PAIR_00076","VP_069","LNP_0433","lnp_id",1
"PAIR_00077","VP_127","LNP_0320","lnp_id",2
"PAIR_00078","VP_153","LNP_0099","lnp_id",5
"PAIR_00079","VP_052","LNP_0191","lnp_id",3
"PAIR_00080","VP_022","LNP_0164","lnp_id",4
"PAIR_00081","VP_089","LNP_0311","lnp_id",1
"PAIR_00082","VP_160","LNP_0434","lnp_id",3
"PAIR_00083","VP_025","LNP_0058","lnp_id",3
"PAIR_00084","VP_035","LNP_0004","lnp_id",2
"PAIR_00085","VP_168","LNP_0040","lnp_id",3
"PAIR_00086","VP_112","LNP_0361","lnp_id",4
"PAIR_00087","VP_030","LNP_0114","lnp_id",2
"PAIR_00088","VP_140","LNP_0142","lnp_id",4
"PAIR_00089","VP_159","LNP_0068","lnp_id",2
"PAIR_00090","VP_121","LNP_0150","lnp_id",1
"PAIR_00091","VP_110","LNP_0205","lnp_id",3
"PAIR_00092","VP_158","LNP_0107","lnp_id",1
"PAIR_00093","VP_064","LNP_0183","lnp_id",4
"PAIR_00094","VP_142","LNP_0316","lnp_id",5
"PAIR_00095","VP_199","LNP_0478","lnp_id",5
"PAIR_00096","VP_067","LNP_0151","lnp_id",1
"PAIR_00097","VP_151","LNP_0253","lnp_id",2
"PAIR_00098","VP_122","LNP_0371","lnp_id",4
"PAIR_00099","VP_079","LNP_0442","lnp_id",5
"PAIR_00100","VP_085","LNP_0354","lnp_id",4
"PAIR_00101","VP_165","LNP_0117","lnp_id",3
"PAIR_00102","VP_136","LNP_0349","lnp_id",5
"PAIR_00103","VP_051","LNP_0459","lnp_id",4
"PAIR_00104","VP_074","LNP_0151","lnp_id",1
"PAIR_00105","VP_178","LNP_0391","lnp_id",2
"PAIR_00106","VP_106","LNP_0134","lnp_id",1
"PAIR_00107","VP_098","LNP_0114","lnp_id",2
"PAIR_00108","VP_074","LNP_0375","lnp_id",4
"PAIR_00109","VP_127","LNP_0243","lnp_id",3
"PAIR_00110","VP_174","LNP_0157","lnp_id",3
"PAIR_00111","VP_017","LNP_0213","lnp_id",2
"PAIR_00112","VP_190","LNP_0390","lnp_id",3
"PAIR_00113","VP_046","LNP_0037","lnp_id",5
"PAIR_00114","VP_054","LNP_0288","lnp_id",1
"PAIR_00115","VP_163","LNP_0119","lnp_id",5
"PAIR_00116","VP_110","LNP_0125","lnp_id",5
"PAIR_00117","VP_094","LNP_0314","lnp_id",3
"PAIR_00118","VP_079","LNP_0386","lnp_id",1
"PAIR_00119","VP_024","LNP_0343","lnp_id",2
"PAIR_00120","VP_113","LNP_0376","lnp_id",3
"PAIR_00121","VP_107","LNP_0361","lnp_id",4
"PAIR_00122","VP_135","LNP_0267","lnp_id",5
"PAIR_00123","VP_151","LNP_0018","lnp_id",1
"PAIR_00124","VP_154","LNP_0115","lnp_id",4
"PAIR_00125","VP_102","LNP_0257","lnp_id",3
"PAIR_00126","VP_160","LNP_0336","lnp_id",4
"PAIR_00127","VP_135","LNP_0294","lnp_id",4
"PAIR_00128","VP_155","LNP_0329","lnp_id",3
"PAIR_00129","VP_170","LNP_0183","lnp_id",4
"PAIR_00130","VP_005","LNP_0086","lnp_id",3
"PAIR_00131","VP_070","LNP_0035","lnp_id",5
"PAIR_00132","VP_016","LNP_0245","lnp_id",5
"PAIR_00133","VP_024","LNP_0011","lnp_id",5
"PAIR_00134","VP_032","LNP_0326","lnp_id",2
"PAIR_00135","VP_021","LNP_0278","lnp_id",4
"PAIR_00136","VP_055","LNP_0312","lnp_id",2
"PAIR_00137","VP_075","LNP_0005","lnp_id",5
"PAIR_00138","VP_164","LNP_0001","lnp_id",1
"PAIR_00139","VP_083","LNP_0451","lnp_id",4
"PAIR_00140","VP_039","LNP_0110","lnp_id",2
"PAIR_00141","VP_054","LNP_0257","lnp_id",3
"PAIR_00142","VP_137","LNP_0076","lnp_id",1
"PAIR_00143","VP_199","LNP_0017","lnp_id",4
"PAIR_00144","VP_048","LNP_0325","lnp_id",4
"PAIR_00145","VP_077","LNP_0113","lnp_id",3
"PAIR_00146","VP_083","LNP_0422","lnp_id",3
"PAIR_00147","VP_184","LNP_0364","lnp_id",3
"PAIR_00148","VP_111","LNP_0445","lnp_id",1
"PAIR_00149","VP_039","LNP_0346","lnp_id",3
"PAIR_00150","VP_196","LNP_0489","lnp_id",2
"PAIR_00151","VP_001","LNP_0311","lnp_id",1
"PAIR_00152","VP_168","LNP_0112","lnp_id",3
"PAIR_00153","VP_030","LNP_0047","lnp_id",5
"PAIR_00154","VP_094","LNP_0060","lnp_id",3
"PAIR_00155","VP_016","LNP_0358","lnp_id",4
"PAIR_00156","VP_088","LNP_0410","lnp_id",2
"PAIR_00157","VP_054","LNP_0262","lnp_id",4
"PAIR_00158","VP_176","LNP_0148","lnp_id",2
"PAIR_00159","VP_020","LNP_0110","lnp_id",2
"PAIR_00160","VP_104","LNP_0216","lnp_id",1
"PAIR_00161","VP_195","LNP_0004","lnp_id",2
"PAIR_00162","VP_093","LNP_0175","lnp_id",1
"PAIR_00163","VP_164","LNP_0352","lnp_id",4
"PAIR_00164","VP_052","LNP_0266","lnp_id",2
"PAIR_00165","VP_108","LNP_0089","lnp_id",2
"PAIR_00166","VP_022","LNP_0414","lnp_id",4
"PAIR_00167","VP_177","LNP_0078","lnp_id",1
"PAIR_00168","VP_042","LNP_0248","lnp_id",2
"PAIR_00169","VP_059","LNP_0206","lnp_id",5
"PAIR_00170","VP_084","LNP_0173","lnp_id",3
"PAIR_00171","VP_011","LNP_0162","lnp_id",2
"PAIR_00172","VP_121","LNP_0256","lnp_id",2
"PAIR_00173","VP_183","LNP_0139","lnp_id",4
"PAIR_00174","VP_136","LNP_0366","lnp_id",3
"PAIR_00175","VP_046","LNP_0150","lnp_id",1
"PAIR_00176","VP_085","LNP_0343","lnp_id",2
"PAIR_00177","VP_109","LNP_0244","lnp_id",4
"PAIR_00178","VP_194","LNP_0162","lnp_id",2
"PAIR_00179","VP_107","LNP_0298","lnp_id",3
"PAIR_00180","VP_077","LNP_0431","lnp_id",2
"PAIR_00181","VP_174","LNP_0008","lnp_id",4
"PAIR_00182","VP_198","LNP_0417","lnp_id",2
"PAIR_00183","VP_200","LNP_0118","lnp_id",1
"PAIR_00184","VP_172","LNP_0297","lnp_id",4
"PAIR_00185","VP_160","LNP_0478","lnp_id",5
"PAIR_00186","VP_036","LNP_0193","lnp_id",1
"PAIR_00187","VP_173","LNP_0143","lnp_id",4
"PAIR_00188","VP_142","LNP_0227","lnp_id",1
"PAIR_00189","VP_016","LNP_0217","lnp_id",4
"PAIR_00190","VP_125","LNP_0492","lnp_id",5
"PAIR_00191","VP_033","LNP_0213","lnp_id",2
"PAIR_00192","VP_040","LNP_0125","lnp_id",5
"PAIR_00193","VP_168","LNP_0480","lnp_id",2
"PAIR_00194","VP_010","LNP_0381","lnp_id",4
"PAIR_00195","VP_200","LNP_0170","lnp_id",5
"PAIR_00196","VP_125","LNP_0058","lnp_id",3
"PAIR_00197","VP_009","LNP_0212","lnp_id",4
"PAIR_00198","VP_007","LNP_0273","lnp_id",3
"PAIR_00199","VP_135","LNP_0242","lnp_id",1
"PAIR_00200","VP_186","LNP_0447","lnp_id",2
"PAIR_00201","VP_061","LNP_0060","lnp_id",3
"PAIR_00202","VP_152","LNP_0002","lnp_id",4
"PAIR_00203","VP_063","LNP_0410","lnp_id",2
"PAIR_00204","VP_054","LNP_0088","lnp_id",1
"PAIR_00205","VP_151","LNP_0296","lnp_id",4
"PAIR_00206","VP_026","LNP_0471","lnp_id",2
"PAIR_00207","VP_033","LNP_0243","lnp_id",3
"PAIR_00208","VP_185","LNP_0007","lnp_id",3
"PAIR_00209","VP_157","LNP_0162","lnp_id",2
"PAIR_00210","VP_115","LNP_0193","lnp_id",1
"PAIR_00211","VP_010","LNP_0247","lnp_id",1
"PAIR_00212","VP_053","LNP_0125","lnp_id",5
"PAIR_00213","VP_054","LNP_0014","lnp_id",5
"PAIR_00214","VP_107","LNP_0344","lnp_id",5
"PAIR_00215","VP_011","LNP_0132","lnp_id",4
"PAIR_00216","VP_025","LNP_0498","lnp_id",4
"PAIR_00217","VP_052","LNP_0046","lnp_id",3
"PAIR_00218","VP_026","LNP_0113","lnp_id",3
"PAIR_00219","VP_135","LNP_0305","lnp_id",3
"PAIR_00220","VP_153","LNP_0452","lnp_id",2
"PAIR_00221","VP_090","LNP_0414","lnp_id",4
"PAIR_00222","VP_160","LNP_0488","lnp_id",4
"PAIR_00223","VP_152","LNP_0149","lnp_id",1
"PAIR_00224","VP_057","LNP_0412","lnp_id",3
"PAIR_00225","VP_105","LNP_0167","lnp_id",5
"PAIR_00226","VP_101","LNP_0301","lnp_id",1
"PAIR_00227","VP_023","LNP_0401","lnp_id",5
"PAIR_00228","VP_014","LNP_0490","lnp_id",5
"PAIR_00229","VP_110","LNP_0200","lnp_id",5
"PAIR_00230","VP_134","LNP_0289","lnp_id",1
"PAIR_00231","VP_091","LNP_0050","lnp_id",5
"PAIR_00232","VP_129","LNP_0231","lnp_id",2
"PAIR_00233","VP_106","LNP_0043","lnp_id",3
"PAIR_00234","VP_113","LNP_0364","lnp_id",3
"PAIR_00235","VP_186","LNP_0271","lnp_id",4
"PAIR_00236","VP_081","LNP_0043","lnp_id",3
"PAIR_00237","VP_029","LNP_0306","lnp_id",2
"PAIR_00238","VP_026","LNP_0093","lnp_id",3
"PAIR_00239","VP_027","LNP_0132","lnp_id",4
"PAIR_00240","VP_007","LNP_0350","lnp_id",5
"PAIR_00241","VP_188","LNP_0406","lnp_id",3
"PAIR_00242","VP_154","LNP_0048","lnp_id",1
"PAIR_00243","VP_041","LNP_0335","lnp_id",1
"PAIR_00244","VP_134","LNP_0248","lnp_id",2
"PAIR_00245","VP_159","LNP_0359","lnp_id",2
"PAIR_00246","VP_093","LNP_0500","lnp_id",2
"PAIR_00247","VP_145","LNP_0208","lnp_id",5
"PAIR_00248","VP_192","LNP_0259","lnp_id",2
"PAIR_00249","VP_165","LNP_0052","lnp_id",3
"PAIR_00250","VP_057","LNP_0340","lnp_id",5
"PAIR_00251","VP_148","LNP_0310","lnp_id",1
"PAIR_00252","VP_163","LNP_0191","lnp_id",3
"PAIR_00253","VP_161","LNP_0005","lnp_id",5
"PAIR_00254","VP_066","LNP_0076","lnp_id",1
"PAIR_00255","VP_004","LNP_0186","lnp_id",2
"PAIR_00256","VP_074","LNP_0161","lnp_id",1
"PAIR_00257","VP_133","LNP_0068","lnp_id",2
"PAIR_00258","VP_117","LNP_0108","lnp_id",2
"PAIR_00259","VP_025","LNP_0006","lnp_id",4
"PAIR_00260","VP_136","LNP_0043","lnp_id",3
"PAIR_00261","VP_055","LNP_0483","lnp_id",3
"PAIR_00262","VP_085","LNP_0311","lnp_id",1
"PAIR_00263","VP_045","LNP_0013","lnp_id",2
"PAIR_00264","VP_146","LNP_0081","lnp_id",2
"PAIR_00265","VP_170","LNP_0370","lnp_id",2
"PAIR_00266","VP_159","LNP_0238","lnp_id",4
"PAIR_00267","VP_134","LNP_0456","lnp_id",2
"PAIR_00268","VP_199","LNP_0349","lnp_id",5
"PAIR_00269","VP_189","LNP_0033","lnp_id",3
"PAIR_00270","VP_105","LNP_0259","lnp_id",2
"PAIR_00271","VP_176","LNP_0081","lnp_id",2
"PAIR_00272","VP_145","LNP_0238","lnp_id",4
"PAIR_00273","VP_173","LNP_0406","lnp_id",3
"PAIR_00274","VP_191","LNP_0497","lnp_id",5
"PAIR_00275","VP_053","LNP_0397","lnp_id",2
"PAIR_00276","VP_104","LNP_0063","lnp_id",1
"PAIR_00277","VP_053","LNP_0124","lnp_id",3
"PAIR_00278","VP_063","LNP_0180","lnp_id",4
"PAIR_00279","VP_199","LNP_0307","lnp_id",1
"PAIR_00280","VP_093","LNP_0345","lnp_id",3
"PAIR_00281","VP_145","LNP_0008","lnp_id",4
"PAIR_00282","VP_002","LNP_0310","lnp_id",1
"PAIR_00283","VP_177","LNP_0151","lnp_id",1
"PAIR_00284","VP_130","LNP_0277","lnp_id",2
"PAIR_00285","VP_141","LNP_0135","lnp_id",4
"PAIR_00286","VP_024","LNP_0021","lnp_id",2
"PAIR_00287","VP_177","LNP_0097","lnp_id",5
"PAIR_00288","VP_195","LNP_0162","lnp_id",2
"PAIR_00289","VP_130","LNP_0033","lnp_id",3
"PAIR_00290","VP_165","LNP_0144","lnp_id",5
"PAIR_00291","VP_191","LNP_0352","lnp_id",4
"PAIR_00292","VP_076","LNP_0125","lnp_id",5
"PAIR_00293","VP_121","LNP_0169","lnp_id",1
"PAIR_00294","VP_013","LNP_0273","lnp_id",3
"PAIR_00295","VP_170","LNP_0313","lnp_id",5
"PAIR_00296","VP_189","LNP_0153","lnp_id",2
"PAIR_00297","VP_198","LNP_0030","lnp_id",5
"PAIR_00298","VP_106","LNP_0226","lnp_id",2
"PAIR_00299","VP_166","LNP_0328","lnp_id",3
"PAIR_00300","VP_112","LNP_0166","lnp_id",1
"PAIR_00301","VP_064","LNP_0446","lnp_id",1
"PAIR_00302","VP_080","LNP_0255","lnp_id",4
"PAIR_00303","VP_036","LNP_0046","lnp_id",3
"PAIR_00304","VP_035","LNP_0319","lnp_id",3
"PAIR_00305","VP_087","LNP_0190","lnp_id",4
"PAIR_00306","VP_067","LNP_0164","lnp_id",4
"PAIR_00307","VP_048","LNP_0443","lnp_id",5
"PAIR_00308","VP_194","LNP_0135","lnp_id",4
"PAIR_00309","VP_111","LNP_0310","lnp_id",1
"PAIR_00310","VP_023","LNP_0180","lnp_id",4
"PAIR_00311","VP_195","LNP_0286","lnp_id",4
"PAIR_00312","VP_137","LNP_0080","lnp_id",4
"PAIR_00313","VP_061","LNP_0090","lnp_id",5
"PAIR_00314","VP_039","LNP_0156","lnp_id",3
"PAIR_00315","VP_031","LNP_0179","lnp_id",4
"PAIR_00316","VP_073","LNP_0290","lnp_id",4
"PAIR_00317","VP_036","LNP_0112","lnp_id",3
"PAIR_00318","VP_022","LNP_0333","lnp_id",2
"PAIR_00319","VP_122","LNP_0262","lnp_id",4
"PAIR_00320","VP_172","LNP_0049","lnp_id",3
"PAIR_00321","VP_041","LNP_0298","lnp_id",3
"PAIR_00322","VP_092","LNP_0099","lnp_id",5
"PAIR_00323","VP_093","LNP_0239","lnp_id",4
"PAIR_00324","VP_125","LNP_0360","lnp_id",5
"PAIR_00325","VP_043","LNP_0396","lnp_id",3
"PAIR_00326","VP_039","LNP_0401","lnp_id",5
"PAIR_00327","VP_165","LNP_0253","lnp_id",2
"PAIR_00328","VP_107","LNP_0069","lnp_id",2
"PAIR_00329","VP_033","LNP_0076","lnp_id",1
"PAIR_00330","VP_083","LNP_0067","lnp_id",2
"PAIR_00331","VP_140","LNP_0280","lnp_id",1
"PAIR_00332","VP_098","LNP_0018","lnp_id",1
"PAIR_00333","VP_021","LNP_0383","lnp_id",1
"PAIR_00334","VP_076","LNP_0278","lnp_id",4
"PAIR_00335","VP_094","LNP_0024","lnp_id",4
"PAIR_00336","VP_035","LNP_0261","lnp_id",1
"PAIR_00337","VP_030","LNP_0069","lnp_id",2
"PAIR_00338","VP_178","LNP_0041","lnp_id",1
"PAIR_00339","VP_175","LNP_0215","lnp_id",1
"PAIR_00340","VP_118","LNP_0223","lnp_id",4
"PAIR_00341","VP_067","LNP_0304","lnp_id",2
"PAIR_00342","VP_115","LNP_0411","lnp_id",1
"PAIR_00343","VP_121","LNP_0170","lnp_id",5
"PAIR_00344","VP_082","LNP_0139","lnp_id",4
"PAIR_00345","VP_096","LNP_0090","lnp_id",5
"PAIR_00346","VP_102","LNP_0241","lnp_id",1
"PAIR_00347","VP_170","LNP_0259","lnp_id",2
"PAIR_00348","VP_168","LNP_0112","lnp_id",3
"PAIR_00349","VP_170","LNP_0160","lnp_id",4
"PAIR_00350","VP_096","LNP_0397","lnp_id",2
"PAIR_00351","VP_026","LNP_0361","lnp_id",4
"PAIR_00352","VP_141","LNP_0195","lnp_id",3
"PAIR_00353","VP_148","LNP_0228","lnp_id",1
"PAIR_00354","VP_148","LNP_0435","lnp_id",1
"PAIR_00355","VP_094","LNP_0092","lnp_id",3
"PAIR_00356","VP_169","LNP_0105","lnp_id",5
"PAIR_00357","VP_136","LNP_0004","lnp_id",2
"PAIR_00358","VP_167","LNP_0417","lnp_id",2
"PAIR_00359","VP_081","LNP_0078","lnp_id",1
"PAIR_00360","VP_191","LNP_0106","lnp_id",4
"PAIR_00361","VP_082","LNP_0279","lnp_id",5
"PAIR_00362","VP_106","LNP_0095","lnp_id",2
"PAIR_00363","VP_119","LNP_0179","lnp_id",4
"PAIR_00364","VP_011","LNP_0257","lnp_id",3
"PAIR_00365","VP_113","LNP_0298","lnp_id",3
"PAIR_00366","VP_108","LNP_0027","lnp_id",3
"PAIR_00367","VP_130","LNP_0210","lnp_id",2
"PAIR_00368","VP_147","LNP_0483","lnp_id",3
"PAIR_00369","VP_141","LNP_0416","lnp_id",1
"PAIR_00370","VP_031","LNP_0159","lnp_id",5
"PAIR_00371","VP_158","LNP_0086","lnp_id",3
"PAIR_00372","VP_115","LNP_0253","lnp_id",2
"PAIR_00373","VP_022","LNP_0160","lnp_id",4
"PAIR_00374","VP_094","LNP_0040","lnp_id",3
"PAIR_00375","VP_016","LNP_0323","lnp_id",5
"PAIR_00376","VP_197","LNP_0497","lnp_id",5
"PAIR_00377","VP_164","LNP_0106","lnp_id",4
"PAIR_00378","VP_178","LNP_0126","lnp_id",1
"PAIR_00379","VP_161","LNP_0262","lnp_id",4
"PAIR_00380","VP_156","LNP_0075","lnp_id",5
"PAIR_00381","VP_177","LNP_0189","lnp_id",2
"PAIR_00382","VP_012","LNP_0336","lnp_id",4
"PAIR_00383","VP_181","LNP_0183","lnp_id",4
"PAIR_00384","VP_156","LNP_0400","lnp_id",3
"PAIR_00385","VP_066","LNP_0254","lnp_id",2
"PAIR_00386","VP_050","LNP_0251","lnp_id",3
"PAIR_00387","VP_175","LNP_0018","lnp_id",1
"PAIR_00388","VP_179","LNP_0050","lnp_id",5
"PAIR_00389","VP_117","LNP_0489","lnp_id",2
"PAIR_00390","VP_134","LNP_0298","lnp_id",3
"PAIR_00391","VP_128","LNP_0065","lnp_id",5
"PAIR_00392","VP_122","LNP_0190","lnp_id",4
"PAIR_00393","VP_143","LNP_0013","lnp_id",2
"PAIR_00394","VP_147","LNP_0485","lnp_id",3
"PAIR_00395","VP_059","LNP_0207","lnp_id",1
"PAIR_00396","VP_003","LNP_0468","lnp_id",4
"PAIR_00397","VP_097","LNP_0215","lnp_id",1
"PAIR_00398","VP_033","LNP_0361","lnp_id",4
"PAIR_00399","VP_048","LNP_0198","lnp_id",2
"PAIR_00400","VP_075","LNP_0397","lnp_id",2
"PAIR_00401","VP_100","LNP_0344","lnp_id",5
"PAIR_00402","VP_108","LNP_0498","lnp_id",4
"PAIR_00403","VP_045","LNP_0113","lnp_id",3
"PAIR_00404","VP_010","LNP_0352","lnp_id",4
"PAIR_00405","VP_170","LNP_0179","lnp_id",4
"PAIR_00406","VP_024","LNP_0361","lnp_id",4
"PAIR_00407","VP_092","LNP_0358","lnp_id",4
"PAIR_00408","VP_146","LNP_0296","lnp_id",4
"PAIR_00409","VP_059","LNP_0067","lnp_id",2
"PAIR_00410","VP_137","LNP_0236","lnp_id",5
"PAIR_00411","VP_053","LNP_0420","lnp_id",4
"PAIR_00412","VP_139","LNP_0432","lnp_id",5
"PAIR_00413","VP_108","LNP_0005","lnp_id",5
"PAIR_00414","VP_008","LNP_0158","lnp_id",5
"PAIR_00415","VP_114","LNP_0420","lnp_id",4
"PAIR_00416","VP_005","LNP_0410","lnp_id",2
"PAIR_00417","VP_029","LNP_0415","lnp_id",2
"PAIR_00418","VP_050","LNP_0253","lnp_id",2
"PAIR_00419","VP_070","LNP_0038","lnp_id",4
"PAIR_00420","VP_074","LNP_0094","lnp_id",1
"PAIR_00421","VP_026","LNP_0329","lnp_id",3
"PAIR_00422","VP_073","LNP_0090","lnp_id",5
"PAIR_00423","VP_011","LNP_0338","lnp_id",2
"PAIR_00424","VP_119","LNP_0408","lnp_id",4
"PAIR_00425","VP_006","LNP_0270","lnp_id",1
"PAIR_00426","VP_184","LNP_0446","lnp_id",1
"PAIR_00427","VP_096","LNP_0077","lnp_id",3
"PAIR_00428","VP_155","LNP_0331","lnp_id",1
"PAIR_00429","VP_119","LNP_0294","lnp_id",4
"PAIR_00430","VP_196","LNP_0027","lnp_id",3
"PAIR_00431","VP_088","LNP_0341","lnp_id",5
"PAIR_00432","VP_156","LNP_0312","lnp_id",2
"PAIR_00433","VP_067","LNP_0272","lnp_id",1
"PAIR_00434","VP_110","LNP_0022","lnp_id",2
"PAIR_00435","VP_168","LNP_0036","lnp_id",2
"PAIR_00436","VP_134","LNP_0147","lnp_id",1
"PAIR_00437","VP_036","LNP_0201","lnp_id",3
"PAIR_00438","VP_055","LNP_0019","lnp_id",4
"PAIR_00439","VP_123","LNP_0239","lnp_id",4
"PAIR_00440","VP_120","LNP_0417","lnp_id",2
"PAIR_00441","VP_094","LNP_0160","lnp_id",4
"PAIR_00442","VP_048","LNP_0360","lnp_id",5
"PAIR_00443","VP_010","LNP_0462","lnp_id",4
"PAIR_00444","VP_153","LNP_0127","lnp_id",1
"PAIR_00445","VP_166","LNP_0055","lnp_id",1
"PAIR_00446","VP_100","LNP_0418","lnp_id",1
"PAIR_00447","VP_105","LNP_0465","lnp_id",2
"PAIR_00448","VP_025","LNP_0103","lnp_id",5
"PAIR_00449","VP_132","LNP_0278","lnp_id",4
"PAIR_00450","VP_180","LNP_0347","lnp_id",4
"PAIR_00451","VP_022","LNP_0428","lnp_id",1
"PAIR_00452","VP_117","LNP_0177","lnp_id",4
"PAIR_00453","VP_024","LNP_0183","lnp_id",4
"PAIR_00454","VP_167","LNP_0187","lnp_id",2
"PAIR_00455","VP_047","LNP_0162","lnp_id",2
"PAIR_00456","VP_188","LNP_0205","lnp_id",3
"PAIR_00457","VP_191","LNP_0268","lnp_id",3
"PAIR_00458","VP_037","LNP_0005","lnp_id",5
"PAIR_00459","VP_174","LNP_0285","lnp_id",1
"PAIR_00460","VP_054","LNP_0014","lnp_id",5
"PAIR_00461","VP_047","LNP_0409","lnp_id",5
"PAIR_00462","VP_144","LNP_0465","lnp_id",2
"PAIR_00463","VP_019","LNP_0033","lnp_id",3
"PAIR_00464","VP_200","LNP_0152","lnp_id",4
"PAIR_00465","VP_159","LNP_0086","lnp_id",3
"PAIR_00466","VP_122","LNP_0105","lnp_id",5
"PAIR_00467","VP_037","LNP_0168","lnp_id",3
"PAIR_00468","VP_103","LNP_0081","lnp_id",2
"PAIR_00469","VP_048","LNP_0483","lnp_id",3
"PAIR_00470","VP_188","LNP_0482","lnp_id",3
"PAIR_00471","VP_190","LNP_0500","lnp_id",2
"PAIR_00472","VP_137","LNP_0264","lnp_id",1
"PAIR_00473","VP_139","LNP_0244","lnp_id",4
"PAIR_00474","VP_043","LNP_0446","lnp_id",1
"PAIR_00475","VP_115","LNP_0040","lnp_id",3
"PAIR_00476","VP_158","LNP_0142","lnp_id",4
"PAIR_00477","VP_189","LNP_0058","lnp_id",3
"PAIR_00478","VP_055","LNP_0041","lnp_id",1
"PAIR_00479","VP_189","LNP_0167","lnp_id",5
"PAIR_00480","VP_162","LNP_0147","lnp_id",1
